IDImp;nr articolo;budget/consuntivo;Nr. Ordine di produzione;Descrizione;Nr. Area di produzione;Risorsa;Tempo risorsa;Quantità di output
4103;ART0002240;CONSUNTIVO;ODP18-06051;Fresatura;A30;RIS5;1.5;4
4104;ART0002173;CONSUNTIVO;ODP18-06012;Fresatura;A30;RIS11;3.5;6
4105;ART0005136;CONSUNTIVO;ODP18-06113;Tornitura;A20;RIS1;3.25;0
4106;ART0005037;CONSUNTIVO;ODP18-05862;Controllo qualità;CQ;RIS16;0;8
4107;ART0005035;CONSUNTIVO;ODP18-05862;Controllo qualità;CQ;RIS16;0;2
4108;ART0005034;CONSUNTIVO;ODP18-05862;Controllo qualità;CQ;RIS16;0;2
4109;ART0005036;CONSUNTIVO;ODP18-05862;Controllo qualità;CQ;RIS16;0;8
4110;ART0000847;CONSUNTIVO;ODP18-05905;Montaggio;A40;RIS13;1.5;4
4111;ART0000847;CONSUNTIVO;ODP18-05905;Controllo qualità;CQ;RIS16;0;4
4112;ART0001219;CONSUNTIVO;ODP18-06051;Tornitura;A20;RIS2;1;2
4113;ART0001095;CONSUNTIVO;ODP18-06010;Fresatura;A30;RIS9;0.75;0
4114;ART0001783;CONSUNTIVO;ODP18-05827;Controllo qualità;CQ;RIS16;0;10
4115;ART0005136;CONSUNTIVO;ODP18-06113;Controllo qualità;CQ;RIS16;0;1
4116;ART0002969;CONSUNTIVO;ODP18-06051;Tornitura;A20;RIS2;3.5;2
4117;ART0005136;CONSUNTIVO;ODP18-06123;Montaggio;A40;RIS13;0.5;1
4118;ART0005136;CONSUNTIVO;ODP18-06123;Controllo qualità;CQ;RIS16;0;1
4119;ART0001208;CONSUNTIVO;ODP18-06107;Fresatura;A30;RIS5;4.33;2
4120;ART0005035;CONSUNTIVO;ODP18-05862;Fresatura;A30;RIS5;0.75;2
4121;ART0001908;CONSUNTIVO;ODP18-06050;Controllo qualità;CQ;RIS16;0;30
4122;ART0000320;CONSUNTIVO;ODP18-05889;Controllo qualità;CQ;RIS16;0;4
4123;ART0004660;CONSUNTIVO;ODP18-05875;Fresatura;A30;RIS9;1;0
4124;ART0004660;CONSUNTIVO;ODP18-05875;Fresatura;A30;RIS11;1.33;6
4125;ART0002969;CONSUNTIVO;ODP18-06051;Fresatura;A30;RIS5;2.25;2
4126;ART0000116;CONSUNTIVO;ODP18-05889;Fresatura;A30;RIS5;2.75;0
4127;ART0001113;CONSUNTIVO;ODP18-06105;Tornitura;A20;RIS2;4;4
4128;ART0000116;CONSUNTIVO;ODP18-05889;Fresatura;A30;RIS5;1.5;3
4129;ART0001113;CONSUNTIVO;ODP18-06105;Tornitura;A20;RIS2;1.25;1
4130;ART0000642;CONSUNTIVO;ODP18-05908;Fresatura;A30;RIS9;2;5
4131;ART0002452;CONSUNTIVO;ODP18-06051;Tornitura;A20;RIS2;5.5;2
4132;ART0001807;CONSUNTIVO;ODP18-06048;Tornitura;A20;RIS2;1.75;65
4133;ART0001917;CONSUNTIVO;ODP18-06048;Tornitura;A20;RIS11;5.33;0
4134;ART0001917;CONSUNTIVO;ODP18-06048;Tornitura;A20;RIS1;3;0
4135;ART0004659;CONSUNTIVO;ODP18-05955;Fresatura;A30;RIS5;3.5;4
4136;ART0004659;CONSUNTIVO;ODP18-05955;Fresatura;A30;RIS5;-2.45;0
4137;ART0004659;CONSUNTIVO;ODP18-05955;Fresatura;A30;RIS5;2.75;0
4138;ART0001095;CONSUNTIVO;ODP18-06010;Fresatura;A30;RIS5;0.75;1
4139;ART0001113;CONSUNTIVO;ODP18-06105;Fresatura;A30;RIS5;1;5
4140;ART0001807;CONSUNTIVO;ODP18-06048;Tornitura;A20;RIS2;3.75;0
4141;ART0001917;CONSUNTIVO;ODP18-06048;Tornitura;A20;RIS11;8.5;0
4142;ART0001794;CONSUNTIVO;ODP18-05997;Fresatura;A30;RIS5;5.5;0
4143;ART0001794;CONSUNTIVO;ODP18-05997;Fresatura;A30;RIS5;0.5;5
4144;ART0001612;CONSUNTIVO;ODP18-06051;Tornitura;A20;RIS2;0.75;8
